Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JNJ,MSFT,TSLA,UNH,XOM
12/21/2012,17.23910713,13.51075172,106.1820602,21.54786873,22.47166061,63.79328537,22.05211639,9.282907486,52.71361923,56.77981949
12/24/2012,17.14577866,13.09276676,104.9696426,20.9468689,21.68088722,62.36283493,21.06002235,9.423997879,51.61885071,56.25210571
12/26/2012,17.31036377,14.00467968,106.1198959,21.61769676,22.69957352,63.55845261,22.14356804,9.203789711,53.07704544,56.30161667
12/27/2012,16.94296074,13.41235161,104.6594391,21.04663849,21.97328568,62.55243683,21.14391518,8.906517029,51.59891891,56.33787155
12/28/2012,16.78954697,13.04461098,103.943779,20.67939949,21.52660751,61.97654343,20.6010952,8.819170952,50.81386948,56.28147888
12/31/2012,16.80310059,13.2434082,104.0007477,20.73146248,21.64308167,61.86700821,20.65383339,8.793373108,50.95760727,56.13896942
1/2/2013,16.7937336,13.10427666,104.0674362,20.68938255,21.62653351,61.85549927,20.52682877,8.851540565,50.83626556,56.12739563
1/3/2013,17.14019012,12.99144745,105.5679169,21.11084747,22.13879967,62.85807037,21.05571938,9.204424858,51.56539917,56.52844238
1/4/2013,17.40037346,13.31120682,106.1973648,21.5285511,22.4907856,63.2145462,21.71618652,9.478840828,52.45581818,56.47790146
1/7/2013,17.22678375,13.10643673,105.7009506,21.40571404,22.17982674,62.94159698,21.40378952,9.425746918,52.01602554,56.6857338
1/8/2013,17.16871262,13.79731369,105.8261948,21.84555244,22.65444565,63.37004089,22.05241776,9.218968391,52.76450348,56.65948868
1/9/2013,17.13862991,13.95142174,105.7150803,21.9315834,22.64920616,63.39634705,22.17303848,9.233585358,53.06472397,56.68718719
1/10/2013,17.13184929,13.88833141,105.6485596,21.8844471,22.57709503,63.29758453,22.08706284,9.261460304,52.94316864,56.65966415
1/11/2013,16.92351151,13.34378433,105.353035,21.55160713,22.193367,63.11169815,21.50090981,9.087294579,52.10532761,57.15462494
